Flow rate (uL/s),Tube Number,Before (g),After (g),Difference (g),Percent error from 1 (%),,,,,,,,,,
50,12,1.054,2.019,0.965,-3.5,,,,,,,,,,
50,13,1.053,2.028,0.975,-2.5,,,,,,,,,,
50,14,1.048,2.062,1.014,1.4,,,,,,,,,,
50,15,1.062,2.05,0.988,-1.2,,,,,,,,,,
50,16,1.057,2.052,0.995,-0.5,,,,,,,,,,
50,17,1.066,2.095,1.029,2.9,,,,,,,,,,
50,18,1.056,2.046,0.99,-1,,,,,,,,,,
50,19,1.056,2.062,1.006,0.6,,,,,,,,,,
50,20,1.052,2.083,1.031,3.1,,,,,,,,,,
50,21,1.063,1.998,0.935,-6.5,,,,,,,,,,
50,22,1.051,2.049,0.998,-0.2,,,,,,,,,,
50,23,1.048,2.037,0.989,-1.1,,,,,,,,,,
50,24,1.055,2.05,0.995,-0.5,,,,,,,,,,
50,25,1.05,2.028,0.978,-2.2,,,,,,,,,,
50,26,1.049,2.063,1.014,1.4,,,,,,,,,,
50,27,1.063,2.052,0.989,-1.1,,,,,,,,,,
50,28,1.052,2.036,0.984,-1.6,,,,,,,,,,
50,29,1.051,2.052,1.001,0.1,,,,,,,,,,
50,30,1.067,2.047,0.98,-2,,,,,,,,,,
25,1,1.063,2.007,0.944,-5.6,,,,,,,,,,
25,2,1.044,2.028,0.984,-1.6,,,,,,,,,,
25,3,1.061,2.015,0.954,-4.6,,,,,,,,,,
25,4,1.046,2.028,0.982,-1.8,,,,,,,,,,
25,5,1.059,2.059,1,0,,,,,,,,,,
25,6,1.066,2.054,0.988,-1.2,,,,,,,,,,
25,7,1.055,2.046,0.991,-0.9,,,,,,,,,,
25,8,1.054,2.043,0.989,-1.1,,,,,,,,,,
25,9,1.06,2.067,1.007,0.7,,,,,,,,,,
25,10,1.066,2.035,0.969,-3.1,,,,,,,,,,
25,11,1.066,2.063,0.997,-0.3,,,,,,,,,,
25,12,1.056,2.064,1.008,0.8,,,,,,,,,,
25,13,1.063,2.05,0.987,-1.3,,,,,,,,,,
25,14,1.057,2.015,0.958,-4.2,,,,,,,,,,
25,15,1.061,2.053,0.992,-0.8,,,,,,,,,,
25,16,1.056,2.063,1.007,0.7,,,,,,,,,,
25,17,1.067,2.05,0.983,-1.7,,,,,,,,,,
25,18,1.064,2.048,0.984,-1.6,,,,,,,,,,
25,19,1.054,2.042,0.988,-1.2,,,,,,,,,,
25,20,1.048,2.051,1.003,0.3,,,,,,,,,,
25,21,1.063,2.054,0.991,-0.9,,,,,,,,,,
25,22,1.066,2.058,0.992,-0.8,,,,,,,,,,
25,23,1.055,2.017,0.962,-3.8,,,,,,,,,,
25,24,1.058,2.083,1.025,2.5,,,,,,,,,,
25,25,1.062,2.057,0.995,-0.5,,,,,,,,,,
25,26,1.063,2.004,0.941,-5.9,,,,,,,,,,
25,27,1.06,2.106,1.046,4.6,,,,,,,,,,
25,28,1.047,2.052,1.005,0.5,,,,,,,,,,
25,29,1.056,2.016,0.96,-4,,,,,,,,,,
25,30,1.055,2.05,0.995,-0.5,,,,,,,,,,
12.5,1,1.069,2.065,0.996,-0.4,,,,,,,,,,
12.5,2,1.053,1.994,0.941,-5.9,,,,,,,,,,
12.5,3,1.063,2.067,1.004,0.4,,,,,,,,,,
12.5,4,1.062,2.083,1.021,2.1,,,,,,,,,,
12.5,5,1.065,2.035,0.97,-3,,,,,,,,,,
12.5,6,1.065,2.061,0.996,-0.4,,,,,,,,,,
12.5,7,1.063,2.091,1.028,2.8,,,,,,,,,,
12.5,8,1.064,2,0.936,-6.4,,,,,,,,,,
12.5,9,1.055,2.048,0.993,-0.7,,,,,,,,,,
12.5,10,1.066,2.081,1.015,1.5,,,,,,,,,,
12.5,11,1.066,2.037,0.971,-2.9,,,,,,,,,,
12.5,12,1.053,2.046,0.993,-0.7,,,,,,,,,,
12.5,13,1.064,2.049,0.985,-1.5,,,,,,,,,,
12.5,14,1.058,2.051,0.993,-0.7,,,,,,,,,,
12.5,15,1.067,2.037,0.97,-3,,,,,,,,,,
12.5,16,1.065,2.043,0.978,-2.2,,,,,,,,,,
12.5,17,1.057,2.069,1.012,1.2,,,,,,,,,,
12.5,18,1.05,2.041,0.991,-0.9,,,,,,,,,,
12.5,19,1.063,2.067,1.004,0.4,,,,,,,,,,
12.5,20,1.066,2.071,1.005,0.5,,,,,,,,,,
12.5,21,1.066,2.014,0.948,-5.2,,,,,,,,,,
12.5,22,1.063,2.072,1.009,0.9,,,,,,,,,,
12.5,23,1.065,2.068,1.003,0.3,,,,,,,,,,
12.5,24,1.068,2.046,0.978,-2.2,,,,,,,,,,
12.5,25,1.047,2.059,1.012,1.2,,,,,,,,,,
12.5,26,1.055,2.056,1.001,0.1,,,,,,,,,,
12.5,27,1.067,2.028,0.961,-3.9,,,,,,,,,,
12.5,28,1.066,2.059,0.993,-0.7,,,,,,,,,,
12.5,29,1.064,2.042,0.978,-2.2,,,,,,,,,,
12.5,30,1.054,2.003,0.949,-5.1,,,,,,,,,,
